zAsset-Date Created-UTC-0	zAsset-Date Created-Local-1	zCldMast-Creation Date-2	zAsset-Added Date-3	zAsset- SortToken -CameraRoll-4	zAddAssetAttr-Time Zone Name-5	zAddAssetAttr-Time Zone Offset-6	zAddAssetAttr-Inferred Time Zone Offset-7	zAddAssetAttr-EXIF-String-8	zAddAssetAttr-Date Created Source-9	zAsset-Modification Date-10	zAsset-Last Shared Date-11	zCldMast-Cloud Local State-12	zCldMast-Import Date-13	zAddAssetAttr-Last Upload Attempt Date-SWY_Files-14	zAddAssetAttr-Import Session ID-15	zAddAssetAttr-Alt Import Image Date-16	zCldMast-Import Session ID- AirDrop-StillTesting-17	zAsset-Cloud Batch Publish Date-18	zAsset-Cloud Server Publish Date-19	zAsset-Directory-Path-20	zAsset-Filename-21	zAddAssetAttr- Original Filename-22	zCldMast- Original Filename-23	zAddAssetAttr- Syndication Identifier-SWY-Files-24	zAsset-Latitude-25	zExtAttr-Latitude-26	zAsset-Longitude-27	zExtAttr-Longitude-28	zAddAssetAttr-GPS Horizontal Accuracy-29	zAddAssetAttr-Location Hash-30	zAddAssetAttr-Shifted Location Valid-31	zAddAssetAttr-Shifted Location Data-Indicator-32	zAddAssetAttr-Shifted Location Data-33	zAddAssetAttr-Reverse Location Is Valid-34	zAddAssetAttr-Reverse Location Data-Indicator-35	zAddAssetAttr-Reverse Location Data-36	zAddAssetAttr-MediaMetadata= AAAzCldMastMedData-zPK-37	AAAzCldMastMedData-zPK= zAddAssetAttr&zCldMast-MediaMetaData-38	AAAzCldMastMedData-Data-HasDataIndicator-39	aaazcldmastmeddata_plist_tiff-40	aaazcldmastmeddata_plist_exif-40	aaazcldmastmeddata_plist_gps-40	aaazcldmastmeddata_plist_iptc-40	CldMasterzCldMastMedData-zOPT-41	zCldMast-Media Metadata Type-42	zCldMast-Media Metadata Key= zCldMastMedData.zPK-43	CMzCldMastMedData-zPK= zAddAssetAttr&zCldMast-MediaMetaData Key-44	CMzCldMastMedData-Data-HasDataIndicator-45	cmzcldmastmeddata_plist_tiff-46	cmzcldmastmeddata_plist_exif-46	cmzcldmastmeddata_plist_gps-46	cmzcldmastmeddata_plist_iptc-46	zExtAttr-Camera Make-47	zExtAttr-Camera Model-48	zExtAttr-Lens Model-49	zAddAssetAttr.Imported by Bundle Identifier-50	zAddAssetAttr-Imported By Display Name-51	zCldMast-Imported by Bundle ID-52	zCldMast-Imported by Display Name-53	zAsset-Saved Asset Type-54	zAsset-Kind-55	zAsset-Kind-Sub-Type-56	zAddAssetAttr-Cloud Kind Sub Type-57	zAsset-Playback Style-58	zAsset-Playback Variation-59	zAsset-Has Adjustments-Camera-Effects-Filters-60	zAsset-Adjustment Timestamp-61	zAddAssetAttr-Editor Bundle ID-62	zMedAnlyAstAttr-Media Analysis Timestamp-63	zAsset-Analysis State Modification Date-64	zAddAssetAttr-Scene Analysis Timestamp-65	zAsset-zPK-66	zAddAssetAttr-zPK-67	zAsset-UUID = store.cloudphotodb-68	zAddAssetAttr-Master Fingerprint-69
2022-01-15 00:14:21	2022-01-15 07:14:21	2022-01-15 00:14:21	2022-01-15 00:14:21	2022-01-15 00:14:21	America/New_York	-18000	-18000	2022:01:14 19:14:21	1-Local_Asset_EXIF-1	2022-01-15 00:14:21		3-Synced with Cloud-3	2022-01-15 00:14:21							DCIM/100APPLE	IMG_0001.PNG	IMG_0001.PNG	IMG_0001.PNG		-180.0		-180.0		-1.0		0-Shifted Location Not Valid-0	zAddAssetAttr-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL				AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	4	4	CMzCldMastMedData-Data_has_Plist	{'Orientation': 1}	{'PixelXDimension': 750, 'PixelYDimension': 1334, 'DateTimeOriginal': '2022:01:14 19:14:21', 'UserComment': 'Screenshot'}						com.apple.springboard	SpringBoard	com.apple.springboard	SpringBoard	3-PhDaPs-Asset_or_SyndPs-Asset_NoAuto-Display-3	0-Photo-0	10-SpringBoard-Screenshot-10	0-Still-Photo-0	1-Image-1	0-No_Playback_Variation-0	0-No-Adjustments-0			2022-01-15 00:14:21	2022-01-19 23:25:28	2022-01-15 00:14:21	1	1	512AC7DF-C03E-477F-BB03-3E1A7A30A914	AWrsOOOiIN8xx0hwxGLpJhve9CEc
2022-01-15 14:08:59	2022-01-15 21:08:59	2022-01-15 14:08:59	2022-01-15 14:09:00	2022-01-15 14:08:59	GMT-0500	-18000	-18000	2022:01:15 09:09:00	1-Local_Asset_EXIF-1	2022-01-15 14:09:09		3-Synced with Cloud-3	2022-01-15 14:09:00							DCIM/100APPLE	IMG_0002.HEIC	IMG_0002.HEIC	IMG_0002.HEIC		-180.0		-180.0		-1.0		0-Shifted Location Not Valid-0	zAddAssetAttr-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL				AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	1	1	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:09:00', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:09:00', 'LensMake': 'Apple', 'SubsecTimeOriginal': '017', 'BrightnessValue': 7.953424329501916, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 9.02843989769821, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:09:00', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [20], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.0019157088122605363, 'SubsecTimeDigitized': '017', 'Flash': 16, 'MeteringMode': 5}			Apple	iPhone 8	iPhone 8 back camera 3.99mm f/1.8					3-PhDaPs-Asset_or_SyndPs-Asset_NoAuto-Display-3	0-Photo-0	2-Live-Photo-2	0-Still-Photo-0	3-Live-Photo-3	0-No_Playback_Variation-0	0-No-Adjustments-0			2022-01-15 14:08:59	2022-01-19 23:25:28	2022-01-15 14:08:59	2	2	A06451B9-B96D-4FDA-B03E-52E7B3C13D49	AT0DhsBBAA2xCrZmpCVP13Wx1YX7
2022-01-15 14:41:15	2022-01-15 21:41:15	2022-01-15 14:41:15	2022-01-15 14:41:16	2022-01-15 14:41:15	GMT-0500	-18000	-18000	2022:01:15 09:41:15	1-Local_Asset_EXIF-1	2022-01-15 14:41:15		3-Synced with Cloud-3	2022-01-15 14:41:16							DCIM/100APPLE	IMG_0003.HEIC	IMG_0003.HEIC	IMG_0003.HEIC		-180.0		-180.0		-1.0		0-Shifted Location Not Valid-0	zAddAssetAttr-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL				AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	3	3	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:41:15', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:41:15', 'LensMake': 'Apple', 'SubsecTimeOriginal': '873', 'BrightnessValue': 1.623152330117019, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 4.029381905046282, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:41:15', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [64], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.0625, 'SubsecTimeDigitized': '873', 'Flash': 16, 'MeteringMode': 5}			Apple	iPhone 8	iPhone 8 back camera 3.99mm f/1.8					3-PhDaPs-Asset_or_SyndPs-Asset_NoAuto-Display-3	0-Photo-0	0-Still-Photo-0	0-Still-Photo-0	1-Image-1	0-No_Playback_Variation-0	0-No-Adjustments-0			2022-01-15 14:41:15	2022-01-19 23:25:28	2022-01-15 14:41:15	3	3	CD9F98FF-DADF-4E5D-B441-2A43ECEF169D	ARLtg4orXfZJSJTBEQ6XFjOK4JxL
2022-01-15 14:42:13	2022-01-15 21:42:13	2022-01-15 14:42:13	2022-01-15 14:42:14	2022-01-15 14:42:13	GMT-0500	-18000	-18000	2022:01:15 09:42:14	1-Local_Asset_EXIF-1	2022-01-15 14:42:14		3-Synced with Cloud-3	2022-01-15 14:42:14							DCIM/100APPLE	IMG_0004.HEIC	IMG_0004.HEIC	IMG_0004.HEIC		-180.0		-180.0		-1.0		0-Shifted Location Not Valid-0	zAddAssetAttr-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL				AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	6	6	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:42:14', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:42:14', 'LensMake': 'Apple', 'SubsecTimeOriginal': '331', 'BrightnessValue': 1.079792315680166, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 4.048448011330107, 'SubjectArea': [2843, 1070, 753, 756], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:42:14', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [100], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.058823529411764705, 'SubsecTimeDigitized': '331', 'Flash': 16, 'MeteringMode': 3}			Apple	iPhone 8	iPhone 8 back camera 3.99mm f/1.8					3-PhDaPs-Asset_or_SyndPs-Asset_NoAuto-Display-3	0-Photo-0	0-Still-Photo-0	0-Still-Photo-0	1-Image-1	0-No_Playback_Variation-0	0-No-Adjustments-0			2022-01-15 14:42:13	2022-01-19 23:25:28	2022-01-15 14:42:13	4	4	A807BC28-8F19-430C-9242-AE5C8E8BDFE3	ATEuc6ohWZR8+P3KoJrrJkc9Cnuv
2022-01-15 14:58:23	2022-01-15 21:58:23	2022-01-15 14:58:23	2022-01-15 14:58:24	2022-01-15 14:58:23	GMT-0500	-18000	-18000	2022:01:15 09:58:24	1-Local_Asset_EXIF-1	2022-01-15 14:58:24		3-Synced with Cloud-3	2022-01-15 14:58:24							DCIM/100APPLE	IMG_0005.HEIC	IMG_0005.HEIC	IMG_0005.HEIC		-180.0		-180.0		-1.0		0-Shifted Location Not Valid-0	zAddAssetAttr-Shifted_Location_Data_Empty-NULL		1-Reverse Location Valid-1	zAddAssetAttr-Reverse_Location_Data_Empty-NULL				AAAzCldMastMedData-Data_Empty-NULL					1-StillTesting-Has_CldMastAsset-1	CGImageProperties	5	5	CMzCldMastMedData-Data_has_Plist	{'HostComputer': 'iPhone 8', 'ResolutionUnit': 2, 'Software': '15.0.2', 'TileLength': 512, 'DateTime': '2022:01:15 09:58:24', 'XResolution': 72.0, 'TileWidth': 512, 'Orientation': 6, 'YResolution': 72.0, 'Model': 'iPhone 8', 'Make': 'Apple'}	{'DateTimeOriginal': '2022:01:15 09:58:24', 'LensMake': 'Apple', 'SubsecTimeOriginal': '123', 'BrightnessValue': 6.465328177146793, 'SensingMethod': 2, 'ExposureBiasValue': 0.0, 'FNumber': 1.8, 'FocalLength': 3.99, 'ShutterSpeedValue': 6.968672566371682, 'SubjectArea': [2015, 1511, 2217, 1330], 'ApertureValue': 1.6959938128383605, 'SceneType': 1, 'ColorSpace': 65535, 'LensSpecification': [3.990000009536743, 3.990000009536743, 1.7999999523162842, 1.7999999523162842], 'PixelYDimension': 3024, 'WhiteBalance': 0, 'DateTimeDigitized': '2022:01:15 09:58:24', 'OffsetTimeOriginal': '-05:00', 'ISOSpeedRatings': [20], 'OffsetTimeDigitized': '-05:00', 'ExposureMode': 0, 'LensModel': 'iPhone 8 back camera 3.99mm f/1.8', 'ExifVersion': [2, 3, 2], 'PixelXDimension': 4032, 'FocalLenIn35mmFilm': 28, 'OffsetTime': '-05:00', 'ExposureProgram': 2, 'ExposureTime': 0.008, 'SubsecTimeDigitized': '123', 'Flash': 16, 'MeteringMode': 5}			Apple	iPhone 8	iPhone 8 back camera 3.99mm f/1.8					3-PhDaPs-Asset_or_SyndPs-Asset_NoAuto-Display-3	0-Photo-0	0-Still-Photo-0	0-Still-Photo-0	1-Image-1	0-No_Playback_Variation-0	0-No-Adjustments-0			2022-01-15 14:58:23	2022-01-19 23:25:28	2022-01-15 14:58:23	5	5	A2E5269E-429A-4B5A-9654-2D042F10889B	AcYaB1V/nq2dI4bBm/BurPDvJjCC
