Start Time	End Time	Time Added	Device Lock Status
2022-01-19 14:58:30+00:00	2022-01-19 15:10:57+00:00	2022-01-19 15:10:58+00:00	Unlocked
2022-01-19 15:10:57+00:00	2022-01-19 15:27:44+00:00	2022-01-19 15:27:44+00:00	Locked
2022-01-19 15:27:44+00:00	2022-01-19 15:39:21+00:00	2022-01-19 15:39:21+00:00	Unlocked
2022-01-19 15:39:21+00:00	2022-01-21 20:15:03+00:00	2022-01-21 20:15:03+00:00	Locked
2022-01-21 20:15:03+00:00	2022-01-21 20:48:26+00:00	2022-01-21 20:48:27+00:00	Unlocked
2022-01-21 20:48:26+00:00	2022-01-21 21:13:07+00:00	2022-01-21 21:13:07+00:00	Locked
2022-01-21 21:13:07+00:00	2022-01-21 22:23:14+00:00	2022-01-21 22:23:14+00:00	Unlocked
2022-01-21 22:23:14+00:00	2022-01-26 08:22:01+00:00	2022-01-26 08:22:01+00:00	Locked
2022-01-27 21:07:24+00:00	2022-01-30 01:56:16+00:00	2022-01-30 01:56:34+00:00	Locked
2022-01-30 01:56:16+00:00	2022-01-30 02:05:05+00:00	2022-01-30 02:05:05+00:00	Unlocked
2022-01-30 02:05:05+00:00	2022-01-30 02:05:34+00:00	2022-01-30 02:05:34+00:00	Locked
2022-01-30 02:05:34+00:00	2022-01-30 02:12:01+00:00	2022-01-30 02:12:02+00:00	Unlocked
2022-01-30 02:12:01+00:00	2022-01-30 02:12:34+00:00	2022-01-30 02:12:34+00:00	Locked
2022-01-30 02:12:34+00:00	2022-01-30 02:27:57+00:00	2022-01-30 02:27:57+00:00	Unlocked
2022-01-30 02:27:57+00:00	2022-01-30 02:29:07+00:00	2022-01-30 02:29:07+00:00	Locked
2022-01-30 02:29:07+00:00	2022-01-30 02:36:51+00:00	2022-01-30 02:36:52+00:00	Unlocked
2022-01-30 02:36:51+00:00	2022-02-02 00:00:56+00:00	2022-02-02 00:00:56+00:00	Locked
2022-02-02 00:00:56+00:00	2022-02-02 00:04:28+00:00	2022-02-02 00:04:28+00:00	Unlocked
2022-02-02 00:04:28+00:00	2022-02-02 18:33:51+00:00	2022-02-02 18:33:51+00:00	Locked
2022-02-02 18:33:51+00:00	2022-02-02 18:53:07+00:00	2022-02-02 18:53:07+00:00	Unlocked
2022-02-02 18:53:07+00:00	2022-02-03 15:46:09+00:00	2022-02-03 15:46:09+00:00	Locked
2022-02-03 17:05:12+00:00	2022-02-04 00:24:12+00:00	2022-02-04 00:24:20+00:00	Locked
2022-02-04 00:24:12+00:00	2022-02-04 01:16:14+00:00	2022-02-04 01:16:14+00:00	Unlocked
2022-02-04 01:16:14+00:00	2022-02-04 04:08:12+00:00	2022-02-04 04:08:12+00:00	Locked
2022-02-04 04:08:12+00:00	2022-02-04 04:15:35+00:00	2022-02-04 04:15:35+00:00	Unlocked
2022-02-04 04:15:35+00:00	2022-02-06 04:39:05+00:00	2022-02-06 04:39:05+00:00	Locked
2022-02-06 04:39:05+00:00	2022-02-06 04:49:52+00:00	2022-02-06 04:49:52+00:00	Unlocked
2022-02-06 04:49:52+00:00	2022-02-06 04:50:07+00:00	2022-02-06 04:50:07+00:00	Locked
2022-02-06 04:50:07+00:00	2022-02-06 04:50:15+00:00	2022-02-06 04:50:15+00:00	Unlocked
2022-02-06 04:50:15+00:00	2022-02-06 04:50:54+00:00	2022-02-06 04:50:54+00:00	Locked
2022-02-06 04:50:54+00:00	2022-02-06 04:58:39+00:00	2022-02-06 04:58:39+00:00	Unlocked
2022-02-06 04:58:39+00:00	2022-02-06 21:21:04+00:00	2022-02-06 21:21:04+00:00	Locked
2022-02-06 21:21:04+00:00	2022-02-06 21:23:27+00:00	2022-02-06 21:23:27+00:00	Unlocked
2022-02-06 21:23:27+00:00	2022-02-06 22:15:37+00:00	2022-02-06 22:15:37+00:00	Locked
2022-02-06 22:15:37+00:00	2022-02-06 22:19:47+00:00	2022-02-06 22:19:47+00:00	Unlocked
2022-02-06 22:19:47+00:00	2022-02-11 03:55:24+00:00	2022-02-11 03:55:25+00:00	Locked
2022-02-11 03:55:24+00:00	2022-02-11 04:09:16+00:00	2022-02-11 04:09:17+00:00	Unlocked
2022-02-11 04:09:16+00:00	2022-02-11 04:13:01+00:00	2022-02-11 04:13:01+00:00	Locked
2022-02-11 04:13:01+00:00	2022-02-11 04:19:31+00:00	2022-02-11 04:19:31+00:00	Unlocked
2022-02-11 04:19:31+00:00	2022-02-12 09:58:08+00:00	2022-02-12 09:58:08+00:00	Locked
2022-02-14 14:41:46+00:00	2022-02-14 16:35:40+00:00	2022-02-14 16:35:50+00:00	Locked
2022-02-14 16:35:40+00:00	2022-02-14 16:38:44+00:00	2022-02-14 16:38:44+00:00	Unlocked
2022-02-14 16:38:44+00:00	2022-02-14 16:47:58+00:00	2022-02-14 16:47:58+00:00	Locked
2022-02-14 16:47:58+00:00	2022-02-14 16:49:44+00:00	2022-02-14 16:49:44+00:00	Unlocked
2022-02-14 16:49:44+00:00	2022-02-14 16:54:51+00:00	2022-02-14 16:54:51+00:00	Locked
2022-02-14 16:54:51+00:00	2022-02-14 16:56:58+00:00	2022-02-14 16:56:58+00:00	Unlocked
2022-02-14 16:56:58+00:00	2022-02-14 17:06:15+00:00	2022-02-14 17:06:15+00:00	Locked
2022-02-14 17:06:15+00:00	2022-02-14 17:07:17+00:00	2022-02-14 17:07:17+00:00	Unlocked
2022-02-14 17:07:17+00:00	2022-02-14 17:55:09+00:00	2022-02-14 17:55:10+00:00	Locked
2022-02-14 17:55:09+00:00	2022-02-14 17:55:58+00:00	2022-02-14 17:55:58+00:00	Unlocked
2022-02-14 17:55:58+00:00	2022-02-14 17:57:18+00:00	2022-02-14 17:57:18+00:00	Locked
2022-02-14 17:57:18+00:00	2022-02-14 17:57:37+00:00	2022-02-14 17:57:37+00:00	Unlocked
2022-02-14 17:57:37+00:00	2022-02-14 17:58:08+00:00	2022-02-14 17:58:08+00:00	Locked
2022-02-14 17:58:48+00:00	2022-02-14 17:58:56+00:00	2022-02-14 17:59:04+00:00	Locked
2022-02-14 17:58:56+00:00	2022-02-14 18:00:55+00:00	2022-02-14 18:00:55+00:00	Unlocked
2022-02-14 18:03:26+00:00	2022-02-14 18:03:53+00:00	2022-02-14 18:04:00+00:00	Locked
2022-02-14 18:03:53+00:00	2022-02-14 18:05:07+00:00	2022-02-14 18:05:07+00:00	Unlocked
2022-02-14 18:05:07+00:00	2022-02-14 18:06:09+00:00	2022-02-14 18:06:09+00:00	Locked
2022-02-14 18:08:26+00:00	2022-02-14 18:09:05+00:00	2022-02-14 18:09:12+00:00	Locked
2022-02-14 18:09:05+00:00	2022-02-14 18:10:17+00:00	2022-02-14 18:10:17+00:00	Unlocked
2022-02-14 18:16:36+00:00	2022-02-14 18:16:41+00:00	2022-02-14 18:16:49+00:00	Locked
2022-02-14 18:16:41+00:00	2022-02-14 18:18:13+00:00	2022-02-14 18:18:13+00:00	Unlocked
2022-02-14 18:18:36+00:00	2022-02-14 18:18:46+00:00	2022-02-14 18:18:52+00:00	Locked
2022-02-14 18:18:46+00:00	2022-02-14 18:21:25+00:00	2022-02-14 18:21:25+00:00	Unlocked
